club,clubLabel,venue,venueLabel,coordinates,countryLabel
http://www.wikidata.org/entity/Q950526,Houston Stars,http://www.wikidata.org/entity/Q1025406,Astrodome,Point(-95.407777777 29.685),United States of America
http://www.wikidata.org/entity/Q953046,Minnesota United FC,http://www.wikidata.org/entity/Q6588176,National Sports Center,Point(-93.225925 45.1575),United States of America
http://www.wikidata.org/entity/Q1031200,Portland Timbers,http://www.wikidata.org/entity/Q262291,Providence Park,Point(-122.691666666 45.521388888),United States of America
http://www.wikidata.org/entity/Q956200,Seattle Sounders,http://www.wikidata.org/entity/Q6588210,Memorial Stadium,Point(-122.349886 47.622811),United States of America
http://www.wikidata.org/entity/Q1046445,Tampa Bay Rowdies,http://www.wikidata.org/entity/Q3101733,George M. Steinbrenner Field,Point(-82.506667 27.980278),United States of America
http://www.wikidata.org/entity/Q727111,Hollywood United F.C.,http://www.wikidata.org/entity/Q5188850,Crossroads School,Point(-118.473888888 34.024444444),United States of America
http://www.wikidata.org/entity/Q961300,Philadelphia Fury,http://www.wikidata.org/entity/Q1545870,Veterans Stadium,Point(-75.171111111 39.906666666),United States of America
http://www.wikidata.org/entity/Q576986,Cleveland City Stars,http://www.wikidata.org/entity/Q6841785,Middlefield Cheese Stadium,Point(-81.5239 41.4035),United States of America
http://www.wikidata.org/entity/Q1393746,Orlando City SC,http://www.wikidata.org/entity/Q199359,Camping World Stadium,Point(-81.402777777 28.539166666),United States of America
http://www.wikidata.org/entity/Q575370,San Jose Earthquakes,http://www.wikidata.org/entity/Q999392,Stevens Stadium,Point(-121.936667 37.350556),United States of America
http://www.wikidata.org/entity/Q2710159,New York Generals,http://www.wikidata.org/entity/Q675214,Yankee Stadium,Point(-73.928055555 40.826944444),United States of America
http://www.wikidata.org/entity/Q583671,Detroit Cougars,http://www.wikidata.org/entity/Q1750255,Tiger Stadium,Point(-83.068888888 42.331944444),United States of America
http://www.wikidata.org/entity/Q1044425,North Carolina FC,http://www.wikidata.org/entity/Q2540855,WakeMed Soccer Park,Point(-78.7551 35.7862),United States of America
http://www.wikidata.org/entity/Q594487,Real Maryland F.C.,http://www.wikidata.org/entity/Q7327870,Richard Montgomery High School,Point(-77.14583 39.078442),United States of America
http://www.wikidata.org/entity/Q2797432,Miami Toros,http://www.wikidata.org/entity/Q619512,Miami Orange Bowl,Point(-80.219808333 25.77805),United States of America
http://www.wikidata.org/entity/Q739468,Chicago Fire U-23,http://www.wikidata.org/entity/Q999781,SeatGeek Stadium,Point(-87.806111111 41.764722222),United States of America
http://www.wikidata.org/entity/Q599018,Club Atlético River Plate Puerto Rico,http://www.wikidata.org/entity/Q5400221,Estadio Francisco Montaner,Point(-66.631785 18.002422),United States of America
http://www.wikidata.org/entity/Q738987,Westchester Flames,http://www.wikidata.org/entity/Q5123355,City Park Stadium,Point(-73.7959 40.9302),United States of America
http://www.wikidata.org/entity/Q2751089,Washington Crossfire,http://www.wikidata.org/entity/Q7306122,Redmond High School,Point(-122.107 47.6953),United States of America
http://www.wikidata.org/entity/Q2751893,Nashville Metros,http://www.wikidata.org/entity/Q5322145,E. S. Rose Park,Point(-86.78297 36.142867),United States of America
http://www.wikidata.org/entity/Q2471899,Team Hawaii,http://www.wikidata.org/entity/Q1697292,Aloha Stadium,Point(-157.93 21.372777777),United States of America
http://www.wikidata.org/entity/Q2984383,Colorado Rapids Women,http://www.wikidata.org/entity/Q1210268,Dick's Sporting Goods Park,Point(-104.891944444 39.805555555),United States of America
http://www.wikidata.org/entity/Q2434492,Jacksonville Cyclones,http://www.wikidata.org/entity/Q6747845,Mandarin High School,Point(-81.584575 30.162835),United States of America
http://www.wikidata.org/entity/Q863473,New Orleans Jesters,http://www.wikidata.org/entity/Q7129615,Pan American Stadium,Point(-90.0879 29.9944),United States of America
http://www.wikidata.org/entity/Q860115,Long Island Rough Riders,http://www.wikidata.org/entity/Q15224404,Hofstra University Soccer Stadium,Point(-73.59866383 40.71848583),United States of America
http://www.wikidata.org/entity/Q176383,California Surf,http://www.wikidata.org/entity/Q531897,Angel Stadium of Anaheim,Point(-117.882777777 33.800277777),United States of America
http://www.wikidata.org/entity/Q2352114,San Francisco Golden Gate Gales,http://www.wikidata.org/entity/Q1033076,Candlestick Park,Point(-122.386111111 37.713611111),United States of America
http://www.wikidata.org/entity/Q2358722,Atlanta Chiefs,http://www.wikidata.org/entity/Q641243,Atlanta-Fulton County Stadium,Point(-84.38944444 33.73944444),United States of America
http://www.wikidata.org/entity/Q862647,Miami Fusion,http://www.wikidata.org/entity/Q1867553,Lockhart Stadium,Point(-80.161111111 26.193055555),United States of America
http://www.wikidata.org/entity/Q2391784,VSI Tampa Bay FC,http://www.wikidata.org/entity/Q7201469,Plant City Stadium,Point(-82.107911 27.99749),United States of America
http://www.wikidata.org/entity/Q2402335,Portland Timbers U23s,http://www.wikidata.org/entity/Q262291,Providence Park,Point(-122.691666666 45.521388888),United States of America
http://www.wikidata.org/entity/Q863492,Des Moines Menace,http://www.wikidata.org/entity/Q7912100,Valley High School,Point(-93.754 41.588),United States of America
http://www.wikidata.org/entity/Q2365092,New England Tea Men,http://www.wikidata.org/entity/Q339850,Foxboro Stadium,Point(-71.267441666 42.0927),United States of America
http://www.wikidata.org/entity/Q2091731,Seattle Sounders,http://www.wikidata.org/entity/Q7601833,Starfire Sports,Point(-122.248 47.4698),United States of America
http://www.wikidata.org/entity/Q187502,Boston Beacons,http://www.wikidata.org/entity/Q49136,Fenway Park,Point(-71.0975 42.346388888),United States of America
http://www.wikidata.org/entity/Q2869518,Atlético de San Juan FC,http://www.wikidata.org/entity/Q1369267,Hiram Bithorn Stadium,Point(-66.073055555 18.416666666),United States of America
http://www.wikidata.org/entity/Q3112722,Guaynabo Fluminense FC,http://www.wikidata.org/entity/Q16838808,"Estadio José ""Pepito"" Bonano",Point(-66.112368 18.374484),United States of America
http://www.wikidata.org/entity/Q570256,Pittsburgh Riverhounds SC,http://www.wikidata.org/entity/Q5759571,Highmark Stadium,Point(-80.009444 40.436111),United States of America
http://www.wikidata.org/entity/Q6483209,Lancaster Inferno,http://www.wikidata.org/entity/Q15223561,Hempfield High School,Point(-76.414 40.092),United States of America
http://www.wikidata.org/entity/Q6492592,Las Vegas Legends,http://www.wikidata.org/entity/Q3356467,Orleans Arena,Point(-115.202222 36.105833),United States of America
http://www.wikidata.org/entity/Q6492623,Las Vegas Quicksilvers,http://www.wikidata.org/entity/Q3470457,Sam Boyd Stadium,Point(-115.016666666 36.086388888),United States of America
http://www.wikidata.org/entity/Q3194805,New Orleans Storm,http://www.wikidata.org/entity/Q3575242,Shrine on Airline,Point(-90.199742 29.975442),United States of America
http://www.wikidata.org/entity/Q3148253,Detroit Ignition,http://www.wikidata.org/entity/Q2990924,Compuware Arena,Point(-83.506111 42.389167),United States of America
http://www.wikidata.org/entity/Q7170374,Persipasi Bekasi,http://www.wikidata.org/entity/Q7148029,Patriot Stadium,Point(-106.385 31.7715),United States of America
